/home/allenhaozhu/anaconda3/bin/python /home/allenhaozhu/Downloads/AGC-master/test.py
ACC=0.686261, f1_macro=0.682155, precision_macro=0.702351, recall_macro=0.704484, f1_micro=0.686261, precision_micro=0.686261, recall_micro=0.686261, NMI=0.321363, ADJ_RAND_SCORE=0.311445
ACC=0.686362, f1_macro=0.682282, precision_macro=0.702354, recall_macro=0.704568, f1_micro=0.686362, precision_micro=0.686362, recall_micro=0.686362, NMI=0.321231, ADJ_RAND_SCORE=0.311482
ACC=0.686311, f1_macro=0.682219, precision_macro=0.702276, recall_macro=0.704525, f1_micro=0.686311, precision_micro=0.686311, recall_micro=0.686311, NMI=0.321122, ADJ_RAND_SCORE=0.311391
ACC=0.686362, f1_macro=0.682282, precision_macro=0.702354, recall_macro=0.704568, f1_micro=0.686362, precision_micro=0.686362, recall_micro=0.686362, NMI=0.321231, ADJ_RAND_SCORE=0.311482
ACC=0.686311, f1_macro=0.682219, precision_macro=0.702276, recall_macro=0.704525, f1_micro=0.686311, precision_micro=0.686311, recall_micro=0.686311, NMI=0.321122, ADJ_RAND_SCORE=0.311391
power: 10 intra_dist: 0.5765049560059332 acc_mean: 0.6863366637926662 acc_std: 4.675936733424314e-05 nmi_mean: 0.3212448840146265 nmi_std: 7.606962457130408e-05 f1_mean: 0.6822460347860115 f1_std: 5.6490462258908326e-05
ACC=0.688036, f1_macro=0.683812, precision_macro=0.703184, recall_macro=0.706039, f1_micro=0.688036, precision_micro=0.688036, recall_micro=0.688036, NMI=0.322147, ADJ_RAND_SCORE=0.313179
ACC=0.688036, f1_macro=0.683813, precision_macro=0.703165, recall_macro=0.706038, f1_micro=0.688036, precision_micro=0.688036, recall_micro=0.688036, NMI=0.322120, ADJ_RAND_SCORE=0.313156
ACC=0.688036, f1_macro=0.683813, precision_macro=0.703165, recall_macro=0.706038, f1_micro=0.688036, precision_micro=0.688036, recall_micro=0.688036, NMI=0.322120, ADJ_RAND_SCORE=0.313156
ACC=0.687833, f1_macro=0.683607, precision_macro=0.703042, recall_macro=0.705869, f1_micro=0.687833, precision_micro=0.687833, recall_micro=0.687833, NMI=0.322001, ADJ_RAND_SCORE=0.312954
ACC=0.687782, f1_macro=0.683559, precision_macro=0.702968, recall_macro=0.705825, f1_micro=0.687782, precision_micro=0.687782, recall_micro=0.687782, NMI=0.321910, ADJ_RAND_SCORE=0.312854
ACC=0.688036, f1_macro=0.683812, precision_macro=0.703184, recall_macro=0.706039, f1_micro=0.688036, precision_micro=0.688036, recall_micro=0.688036, NMI=0.322147, ADJ_RAND_SCORE=0.313179
ACC=0.687833, f1_macro=0.683607, precision_macro=0.703042, recall_macro=0.705869, f1_micro=0.687833, precision_micro=0.687833, recall_micro=0.687833, NMI=0.322001, ADJ_RAND_SCORE=0.312954
ACC=0.688036, f1_macro=0.683812, precision_macro=0.703184, recall_macro=0.706039, f1_micro=0.688036, precision_micro=0.688036, recall_micro=0.688036, NMI=0.322147, ADJ_RAND_SCORE=0.313179
ACC=0.688086, f1_macro=0.683863, precision_macro=0.703220, recall_macro=0.706081, f1_micro=0.688086, precision_micro=0.688086, recall_micro=0.688086, NMI=0.322183, ADJ_RAND_SCORE=0.313235
ACC=0.687782, f1_macro=0.683557, precision_macro=0.702987, recall_macro=0.705826, f1_micro=0.687782, precision_micro=0.687782, recall_micro=0.687782, NMI=0.321938, ADJ_RAND_SCORE=0.312876
power: 11 intra_dist: 0.5612945147931175 acc_mean: 0.6879494852158036 acc_std: 0.00011796625601877809 nmi_mean: 0.32207135281027144 nmi_std: 9.380113118026512e-05 f1_mean: 0.6837254473960145 f1_std: 0.0001185710815895177
ACC=0.688898, f1_macro=0.684587, precision_macro=0.703848, recall_macro=0.706722, f1_micro=0.688898, precision_micro=0.688898, recall_micro=0.688898, NMI=0.322899, ADJ_RAND_SCORE=0.314187
ACC=0.688847, f1_macro=0.684535, precision_macro=0.703757, recall_macro=0.706679, f1_micro=0.688847, precision_micro=0.688847, recall_micro=0.688847, NMI=0.322716, ADJ_RAND_SCORE=0.314082
ACC=0.689151, f1_macro=0.684841, precision_macro=0.704172, recall_macro=0.706899, f1_micro=0.689151, precision_micro=0.689151, recall_micro=0.689151, NMI=0.323236, ADJ_RAND_SCORE=0.314562
ACC=0.688999, f1_macro=0.684687, precision_macro=0.703958, recall_macro=0.706808, f1_micro=0.688999, precision_micro=0.688999, recall_micro=0.688999, NMI=0.323027, ADJ_RAND_SCORE=0.314344
